GO_ID	ClusterID	ClusterName
GO:0005663	1	Gene-Expression Complexes
GO:0005664	1	Gene-Expression Complexes
GO:0005665	2	Nuclear Enzyme Complexes
GO:0005666	2	Nuclear Enzyme Complexes
GO:0005667	1	Gene-Expression Complexes
GO:0005669	1	Gene-Expression Complexes
GO:0005672	1	Gene-Expression Complexes
GO:0005673	1	Gene-Expression Complexes
GO:0005674	1	Gene-Expression Complexes
GO:0005675	2	Nuclear Enzyme Complexes
GO:0005677	1	Gene-Expression Complexes
GO:0005680	2	Nuclear Enzyme Complexes
GO:0005681	1	Gene-Expression Complexes
GO:0005682	1	Gene-Expression Complexes
GO:0005684	1	Gene-Expression Complexes
GO:0005685	1	Gene-Expression Complexes
GO:0005686	1	Gene-Expression Complexes
GO:0005687	1	Gene-Expression Complexes
GO:0005688	1	Gene-Expression Complexes
GO:0005689	1	Gene-Expression Complexes
GO:0005694	0	Membrane & Organelle
GO:0005712	0	Membrane & Organelle
GO:0005730	0	Membrane & Organelle
GO:0005732	1	Gene-Expression Complexes
GO:0005736	2	Nuclear Enzyme Complexes
GO:0005737	0	Membrane & Organelle
GO:0005739	0	Membrane & Organelle
GO:0005740	0	Membrane & Organelle
GO:0005741	0	Membrane & Organelle
GO:0005742	3	Membrane Transport & Vesicle
GO:0005743	0	Membrane & Organelle
GO:0005744	3	Membrane Transport & Vesicle
GO:0005758	0	Membrane & Organelle
GO:0005759	0	Membrane & Organelle
GO:0005761	0	Membrane & Organelle
GO:0005762	1	Gene-Expression Complexes
GO:0005763	1	Gene-Expression Complexes
GO:0005764	0	Membrane & Organelle
GO:0005765	0	Membrane & Organelle
GO:0005768	0	Membrane & Organelle
GO:0005769	0	Membrane & Organelle
GO:0005770	0	Membrane & Organelle
GO:0005771	0	Membrane & Organelle
GO:0005773	0	Membrane & Organelle
GO:0005774	0	Membrane & Organelle
GO:0005776	0	Membrane & Organelle
GO:0005777	0	Membrane & Organelle
GO:0005782	0	Membrane & Organelle
GO:0005783	0	Membrane & Organelle
GO:0005784	3	Membrane Transport & Vesicle
GO:0005785	3	Membrane Transport & Vesicle
GO:0005786	1	Gene-Expression Complexes
GO:0005787	3	Membrane Transport & Vesicle
GO:0005788	0	Membrane & Organelle
GO:0005789	0	Membrane & Organelle
GO:0005793	0	Membrane & Organelle
GO:0005794	0	Membrane & Organelle
GO:0005795	0	Membrane & Organelle
GO:0005797	0	Membrane & Organelle
GO:0005801	0	Membrane & Organelle
GO:0005802	0	Membrane & Organelle
GO:0005811	0	Membrane & Organelle
GO:0005813	0	Membrane & Organelle
GO:0005814	0	Membrane & Organelle
GO:0005815	0	Membrane & Organelle
